#,Target,Mode,IP,"URL Rating","Domain Rating","Ahrefs Rank",Domains,"Ref domains Dofollow","Ref domains Governmental","Ref domains Educational","Ref IPs","Ref SubNets","Linked Domains","Total Backlinks","Backlinks Text","Backlinks NoFollow","Backlinks Redirect","Backlinks Image","Backlinks Frame","Backlinks Form","Backlinks Governmental","Backlinks Educational","Total Keywords","Total Traffic"
174,SavingGrace.com,subdomains,54.208.21.117,,2.1,56547132,11,9,0,0,13,12,1,55,55,2,0,0,0,0,0,0,0,0
175,AtTheRanch.com,subdomains,198.49.23.144,,0,,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
176,LivingLuxe.com,subdomains,,,1.9,58692790,46,37,0,0,43,36,0,366,366,124,0,0,0,0,0,0,0,0
177,StockUsa.com,subdomains,,,0.1,110394308,21,6,0,0,41,35,1,182,107,74,0,23,75,0,0,0,0,0
178,soosyo.com,subdomains,,,2.3,54162397,33,18,0,0,46,45,4,113,111,47,0,2,2,0,0,0,0,0
179,WearBazar.com,subdomains,86.38.202.128,,0,171642532,8,1,0,0,8,8,6,33,33,30,0,1,0,0,0,0,0,0
180,SpiceVice.com,subdomains,,,1.2,68829536,31,31,0,0,30,30,0,50,50,0,0,0,0,0,0,0,0,0
181,manishsatija.com,subdomains,,,2.2,55523602,38,25,0,0,45,45,6,209,209,57,0,2,0,0,0,0,0,0
182,Pointer.org,subdomains,3.64.163.50,,3,48511520,25,17,0,0,36,34,2,176,176,93,0,0,0,0,0,0,0,0
183,AlbanyGraniteTops.com,subdomains,3.33.130.190,,6,33794664,61,48,0,0,54,52,5,250,250,99,0,81,0,0,0,0,6,0
184,anka.net,subdomains,46.28.239.150,,35,2808132,21,16,0,0,30,25,1,373,372,111,0,6,1,0,0,0,0,0
185,360Entertainment.com,subdomains,198.185.159.144,,0.3,94283671,23,10,0,0,19,16,5,113,81,31,0,0,0,0,0,0,11,35
186,CryptoMoneyLab.com,subdomains,15.197.148.33,,0.1,112068678,9,8,0,0,9,9,0,32,32,3,0,0,0,0,0,0,0,0
187,OldBoaTads.com,subdomains,,,0.1,105859480,4,3,0,1,4,4,0,158,158,11,0,0,0,0,0,1,0,0
188,EverythingSugar.com,subdomains,66.81.203.196,,0,169043254,33,21,0,0,28,27,0,44,44,20,0,1,0,0,0,0,0,0
189,PreventionResource.com,subdomains,,,0,185162016,2,1,0,0,2,2,0,2,2,1,0,0,0,0,0,0,0,0
190,cssmoz.com,subdomains,76.76.21.142,,48,889080,87,65,0,1,94,81,2667,458,427,182,12,49,0,0,0,1,0,0
191,WeddingLady.com,subdomains,,,2.4,53096271,34,28,0,0,44,41,0,84,81,12,2,3,0,0,0,0,0,0
192,wpcn.ca,subdomains,,,9,24539818,26,16,0,0,28,28,0,57,52,14,0,3,4,1,0,0,0,0
193,SeeVirginiabeach.com,subdomains,3.134.250.255,,0.2,102896412,9,8,0,0,5,4,1,120,120,1,0,117,0,0,0,0,0,0
